Size,Algorithm,DataType,Comparisons,Time_ms
900,StandardMergeSort,Random,10142,37.812
900,StandardMergeSort,Reversed,6088,119.594
900,StandardMergeSort,AlmostSorted,7861,74.904
900,StandardMergeSort,Prefix,64464,91.405
900,StandardQuickSort,Random,11974,0.274
900,StandardQuickSort,Reversed,410006,8.047
900,StandardQuickSort,AlmostSorted,109419,2.053
900,StandardQuickSort,Prefix,77115,0.501
900,TernaryQuickSort,Random,8305,0.184
900,TernaryQuickSort,Reversed,7665,0.151
900,TernaryQuickSort,AlmostSorted,8542,0.182
900,TernaryQuickSort,Prefix,14424,0.249
900,LCPMergeSort,Random,10142,57.722
900,LCPMergeSort,Reversed,6088,62.183
900,LCPMergeSort,AlmostSorted,7861,61.044
900,LCPMergeSort,Prefix,64464,67.855
900,MSDRadixSort,Random,1918,79.650
900,MSDRadixSort,Reversed,1950,79.632
900,MSDRadixSort,AlmostSorted,1943,72.408
900,MSDRadixSort,Prefix,8234,366.883
900,MSDRadixSort+QuickSort,Random,3483,37.862
900,MSDRadixSort+QuickSort,Reversed,3419,39.739
900,MSDRadixSort+QuickSort,AlmostSorted,3381,25.689
900,MSDRadixSort+QuickSort,Prefix,9705,415.615
1000,StandardMergeSort,Random,11595,84.715
1000,StandardMergeSort,Reversed,7066,81.458
1000,StandardMergeSort,AlmostSorted,8878,85.213
1000,StandardMergeSort,Prefix,72458,112.709
1000,StandardQuickSort,Random,14246,0.303
1000,StandardQuickSort,Reversed,506188,9.967
1000,StandardQuickSort,AlmostSorted,97407,1.919
1000,StandardQuickSort,Prefix,102279,0.686
1000,TernaryQuickSort,Random,9628,0.203
1000,TernaryQuickSort,Reversed,9248,0.194
1000,TernaryQuickSort,AlmostSorted,9411,0.219
1000,TernaryQuickSort,Prefix,17300,0.267
1000,LCPMergeSort,Random,11595,80.891
1000,LCPMergeSort,Reversed,7066,81.760
1000,LCPMergeSort,AlmostSorted,8878,82.075
1000,LCPMergeSort,Prefix,72458,106.670
1000,MSDRadixSort,Random,2217,117.303
1000,MSDRadixSort,Reversed,2159,113.671
1000,MSDRadixSort,AlmostSorted,2144,124.219
1000,MSDRadixSort,Prefix,9185,252.471
1000,MSDRadixSort+QuickSort,Random,3846,98.665
1000,MSDRadixSort+QuickSort,Reversed,3897,98.665
1000,MSDRadixSort+QuickSort,AlmostSorted,3901,118.994
1000,MSDRadixSort+QuickSort,Prefix,10876,255.850
1100,StandardMergeSort,Random,12998,29.376
1100,StandardMergeSort,Reversed,7800,34.416
1100,StandardMergeSort,AlmostSorted,9920,36.072
1100,StandardMergeSort,Prefix,81351,32.058
1100,StandardQuickSort,Random,15831,0.347
1100,StandardQuickSort,Reversed,612620,11.749
1100,StandardQuickSort,AlmostSorted,141037,2.539
1100,StandardQuickSort,Prefix,103091,0.661
1100,TernaryQuickSort,Random,11839,0.251
1100,TernaryQuickSort,Reversed,10281,0.208
1100,TernaryQuickSort,AlmostSorted,13360,0.330
1100,TernaryQuickSort,Prefix,18971,0.283
1100,LCPMergeSort,Random,12998,30.662
1100,LCPMergeSort,Reversed,7800,35.835
1100,LCPMergeSort,AlmostSorted,9920,35.810
1100,LCPMergeSort,Prefix,81351,30.763
1100,MSDRadixSort,Random,2353,40.771
1100,MSDRadixSort,Reversed,2391,45.537
1100,MSDRadixSort,AlmostSorted,2417,32.769
1100,MSDRadixSort,Prefix,10126,214.079
1100,MSDRadixSort+QuickSort,Random,4529,32.887
1100,MSDRadixSort+QuickSort,Reversed,4505,33.695
1100,MSDRadixSort+QuickSort,AlmostSorted,4436,31.053
1100,MSDRadixSort+QuickSort,Prefix,12267,202.203
1200,StandardMergeSort,Random,14556,35.395
1200,StandardMergeSort,Reversed,8507,42.983
